prompt_index,method,prompt,image_path,elapsed_seconds,peak_vram_gb,reference_clip_similarity,prompt_clipscore,subject_prompt_clipscore,delta_reference_vs_base,delta_subject_prompt_vs_base
1,base,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_base\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,2.785022399999434,6.979499816894531,85.68418025970459,32.03428387641907,30.68988025188446,0.0,0.0
2,base,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_base\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.014809400003287,6.979499816894531,85.66592335700989,28.22727859020233,29.383227229118347,0.0,0.0
3,base,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_base\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.0174177000008058,6.979499816894531,85.0128173828125,33.188360929489136,28.482922911643982,0.0,0.0
4,base,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_base\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.0111771000083536,6.979499816894531,83.08029174804688,28.746670484542847,27.58755087852478,0.0,0.0
5,base,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_base\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.0207815000030678,6.979499816894531,80.47508597373962,36.01682186126709,27.62322425842285,0.0,0.0
6,base,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_base\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.0397449000010965,6.979499816894531,78.16535234451294,29.608207941055298,25.124311447143555,0.0,0.0
7,base,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_base\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,0.9722612000041408,6.979499816894531,85.57695150375366,31.773799657821655,27.97185778617859,0.0,0.0
8,base,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_base\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.0102448999969056,6.979499816894531,85.61363220214844,32.60788917541504,31.031125783920288,0.0,0.0
1,original_lora_scale_2,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_original_scale2\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,1.3820971999957692,6.985267639160156,85.27023792266846,31.91562592983246,30.704504251480103,-0.4139423370361328,0.01462399959564209
2,original_lora_scale_2,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_original_scale2\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.4611661999952048,6.985267639160156,86.97525262832642,29.25024926662445,29.90022897720337,1.3093292713165283,0.517001748085022
3,original_lora_scale_2,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_original_scale2\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.3521235999942292,6.985267639160156,85.13199090957642,33.98860692977905,28.521013259887695,0.11917352676391602,0.03809034824371338
4,original_lora_scale_2,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_original_scale2\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.425215900002513,6.985267639160156,85.21469235420227,30.648571252822876,29.771965742111206,2.1344006061553955,2.184414863586426
5,original_lora_scale_2,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_original_scale2\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.4385754999966593,6.985267639160156,81.58910274505615,36.01944148540497,27.92011797428131,1.1140167713165283,0.2968937158584595
6,original_lora_scale_2,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_original_scale2\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.3931306999875233,6.985267639160156,78.11492085456848,31.37655258178711,28.040719032287598,-0.05043148994445801,2.916407585144043
7,original_lora_scale_2,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_original_scale2\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.424721600007615,6.985267639160156,84.72428321838379,31.854265928268433,28.267139196395874,-0.852668285369873,0.29528141021728516
8,original_lora_scale_2,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_original_scale2\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.4504160000069533,6.985267639160156,83.69329571723938,35.905879735946655,30.00396490097046,-1.9203364849090576,-1.027160882949829
1,enhanced_lora_scale_1_5,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_enhanced_scale1_5\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,2.974203400008264,6.991035461425781,77.46481895446777,32.07452893257141,30.38197159767151,-8.219361305236816,-0.30790865421295166
2,enhanced_lora_scale_1_5,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_enhanced_scale1_5\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.4421215999900596,6.991035461425781,87.12049722671509,32.55305886268616,32.3123037815094,1.4545738697052002,2.9290765523910522
3,enhanced_lora_scale_1_5,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_enhanced_scale1_5\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.443842799999402,6.991035461425781,83.78982543945312,34.53013300895691,29.31717038154602,-1.222991943359375,0.8342474699020386
4,enhanced_lora_scale_1_5,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_enhanced_scale1_5\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.4459242999873823,6.991035461425781,79.4156014919281,32.37156271934509,31.146293878555298,-3.6646902561187744,3.5587430000305176
5,enhanced_lora_scale_1_5,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_enhanced_scale1_5\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.3991375000041444,6.991035461425781,82.23211765289307,36.57316863536835,28.685659170150757,1.7570316791534424,1.0624349117279053
6,enhanced_lora_scale_1_5,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_enhanced_scale1_5\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.4452403000032064,6.991035461425781,75.89463591575623,33.321088552474976,29.692059755325317,-2.270716428756714,4.567748308181763
7,enhanced_lora_scale_1_5,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_enhanced_scale1_5\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.4494554999982938,6.991035461425781,84.73623394966125,33.74730348587036,28.00579071044922,-0.8407175540924072,0.03393292427062988
8,enhanced_lora_scale_1_5,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_enhanced_scale1_5\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.443796299994574,6.991035461425781,81.82817697525024,37.15074062347412,30.882978439331055,-3.7854552268981934,-0.1481473445892334
1,enhanced_lora_scale_2,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_enhanced_scale2\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,2.889193000009982,6.991035461425781,78.931725025177,31.799179315567017,30.33532202243805,-6.752455234527588,-0.35455822944641113
2,enhanced_lora_scale_2,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_enhanced_scale2\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.3805208000121638,6.991035461425781,80.201655626297,28.028392791748047,26.82427167892456,-5.464267730712891,-2.5589555501937866
3,enhanced_lora_scale_2,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_enhanced_scale2\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.4334984000015538,6.991035461425781,73.7044095993042,31.186407804489136,26.76159143447876,-11.3084077835083,-1.7213314771652222
4,enhanced_lora_scale_2,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_enhanced_scale2\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.4268673000042327,6.991035461425781,76.72304511070251,33.05627107620239,28.41094136238098,-6.35724663734436,0.8233904838562012
5,enhanced_lora_scale_2,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_enhanced_scale2\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.4819756999931997,6.991035461425781,76.52414441108704,37.478816509246826,28.210127353668213,-3.950941562652588,0.5869030952453613
6,enhanced_lora_scale_2,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_enhanced_scale2\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.473775000005844,6.991035461425781,75.7708191871643,30.693337321281433,28.404176235198975,-2.394533157348633,3.27986478805542
7,enhanced_lora_scale_2,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_enhanced_scale2\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.467138399995747,6.991035461425781,76.43288373947144,35.6403112411499,27.545124292373657,-9.144067764282227,-0.42673349380493164
8,enhanced_lora_scale_2,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_enhanced_scale2\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.4259358999988763,6.991035461425781,75.04006028175354,34.95582640171051,26.4997661113739,-10.573571920394897,-4.531359672546387
1,clean_captioned_lora_scale_1_25,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,3.602760699999635,6.991035461425781,86.8289053440094,32.42478370666504,30.23533821105957,1.1447250843048096,-0.45454204082489014
2,clean_captioned_lora_scale_1_25,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.433575600007316,6.991035461425781,86.83703541755676,32.10517168045044,31.79342746734619,1.171112060546875,2.4102002382278442
3,clean_captioned_lora_scale_1_25,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.43424970000342,6.991035461425781,83.67730379104614,32.758599519729614,27.586036920547485,-1.3355135917663574,-0.8968859910964966
4,clean_captioned_lora_scale_1_25,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.448054400010733,6.991035461425781,83.92475843429565,30.951973795890808,29.24242615699768,0.8444666862487793,1.6548752784729004
5,clean_captioned_lora_scale_1_25,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.386526699992828,6.991035461425781,82.21075534820557,35.659319162368774,28.455621004104614,1.7356693744659424,0.8323967456817627
6,clean_captioned_lora_scale_1_25,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.3877440000069328,6.991035461425781,78.23630571365356,30.814477801322937,26.002907752990723,0.070953369140625,0.878596305847168
7,clean_captioned_lora_scale_1_25,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.4025358999933815,6.991035461425781,85.38855314254761,34.60111618041992,29.520267248153687,-0.1883983612060547,1.5484094619750977
8,clean_captioned_lora_scale_1_25,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_clean_captioned_scale1_25\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.4274943000054918,6.991035461425781,79.1427493095398,35.35342514514923,29.01739478111267,-6.470882892608643,-2.013731002807617
1,clean_captioned_lora_scale_1_5,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,3.063135300006252,6.991035461425781,86.54160499572754,31.006747484207153,28.825724124908447,0.8574247360229492,-1.8641561269760132
2,clean_captioned_lora_scale_1_5,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.4258238000038546,6.991035461425781,85.9879732131958,33.193862438201904,32.4798047542572,0.3220498561859131,3.096577525138855
3,clean_captioned_lora_scale_1_5,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.432433999987552,6.991035461425781,75.18138885498047,31.87376856803894,25.26456117630005,-9.831428527832031,-3.218361735343933
4,clean_captioned_lora_scale_1_5,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.4430804000003263,6.991035461425781,84.7491979598999,31.550884246826172,28.82160246372223,1.6689062118530273,1.2340515851974487
5,clean_captioned_lora_scale_1_5,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.4322212999977637,6.991035461425781,79.97646927833557,34.42132771015167,27.534174919128418,-0.49861669540405273,-0.0890493392944336
6,clean_captioned_lora_scale_1_5,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.4322610000090208,6.991035461425781,78.28099131584167,28.379184007644653,26.781731843948364,0.11563897132873535,1.6574203968048096
7,clean_captioned_lora_scale_1_5,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.4176769999903627,6.991035461425781,84.488844871521,34.26069617271423,29.49332594871521,-1.088106632232666,1.521468162536621
8,clean_captioned_lora_scale_1_5,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_clean_captioned_scale1_5\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.4388268000038806,6.991035461425781,79.014652967453,37.33135461807251,29.968708753585815,-6.598979234695435,-1.0624170303344727
1,clean_captioned_lora_scale_1_75,"a centered studio product photo of zzmearphone black over-ear headphones with large oval ear cups, a padded headband, black leather cushions, isolated on a clean white table, sharp focus",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\01_a_centered_studio_product_photo_of_zzmearphone_black_over_ear_he.png,3.120511400004034,6.991035461425781,81.20526671409607,32.085439562797546,29.745200276374817,-4.4789135456085205,-0.9446799755096436
2,clean_captioned_lora_scale_1_75,"a front view product photo of zzmearphone black over-ear headphones, symmetrical headband, large round ear cups, matte black plastic, soft studio lighting, plain gray background",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\02_a_front_view_product_photo_of_zzmearphone_black_over_ear_headpho.png,1.4516937000007601,6.991035461425781,76.91519856452942,32.10674822330475,30.98543882369995,-8.750724792480469,1.602211594581604
3,clean_captioned_lora_scale_1_75,"a three-quarter angle product photo of zzmearphone black over-ear headphones on a wooden desk, visible padded headband, oval ear cushions, realistic photography, warm window light",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\03_a_three_quarter_angle_product_photo_of_zzmearphone_black_over_ea.png,1.4398048000002746,6.991035461425781,72.92654514312744,29.766839742660522,22.872251272201538,-12.086272239685059,-5.610671639442444
4,clean_captioned_lora_scale_1_75,"a close-up macro photo of zzmearphone black over-ear headphones showing textured ear cushions, metal hinge details, black headband padding, shallow depth of field",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\04_a_close_up_macro_photo_of_zzmearphone_black_over_ear_headphones_.png,1.4426559999992605,6.991035461425781,84.72903370857239,29.611733555793762,28.02361249923706,1.6487419605255127,0.4360616207122803
5,clean_captioned_lora_scale_1_75,"a premium advertisement render of zzmearphone black over-ear headphones floating on a dark background, blue rim light, centered object, clean silhouette, glossy black finish",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\05_a_premium_advertisement_render_of_zzmearphone_black_over_ear_hea.png,1.4621345999912592,6.991035461425781,79.78220582008362,36.80915832519531,28.32648456096649,-0.6928801536560059,0.7032603025436401
6,clean_captioned_lora_scale_1_75,"a realistic lifestyle photo of zzmearphone black over-ear headphones beside a silver laptop, unobstructed on the desk, large ear cups clearly visible, morning light",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\06_a_realistic_lifestyle_photo_of_zzmearphone_black_over_ear_headph.png,1.4185318000090774,6.991035461425781,80.29822111129761,29.523012042045593,28.629070520401,2.132868766784668,3.5047590732574463
7,clean_captioned_lora_scale_1_75,"a catalog product photo of zzmearphone black over-ear headphones on a simple stand, full object visible, padded headband, black cushions, neutral background",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\07_a_catalog_product_photo_of_zzmearphone_black_over_ear_headphones.png,1.4510302999988198,6.991035461425781,82.64922499656677,35.79017221927643,30.097901821136475,-2.9277265071868896,2.1260440349578857
8,clean_captioned_lora_scale_1_75,"a clean exploded-view product render of zzmearphone black over-ear headphones, separated ear cups and headband parts, black cushions, small hardware details, white background",outputs\day5_lora_subject_validation_clean_captioned_scale1_75\08_a_clean_exploded_view_product_render_of_zzmearphone_black_over_e.png,1.4165310000098543,6.991035461425781,76.23546123504639,37.39989995956421,28.52613627910614,-9.37817096710205,-2.504989504814148
